id_registo,temperatura,humidade_relativa,luz,CO2,humidade_absoluta,ocupacao
20019,20.51380207679836,29.911066905281917,1012.9937091133245,783.5516794160768,0.004370681948301575,0
29077,21.34775793629963,18.760758985937237,165.04993650747386,477.166606496608,0.0028986195219766163,0
17474,20.712987649428392,33.72144242852633,0.0,517.7845974764231,0.004798964683833728,0
26163,20.13863230859968,34.15460351177185,149.78561026668277,1515.136696420255,0.004923600732168019,0
16665,22.761814706533603,30.479518702042665,608.9489325157681,1012.2531153642658,0.00494375861436709,1
10462,19.652239508349762,33.18369629468343,0.0,508.5251815566623,0.005322273325279111,0
18333,19.695106746916,23.77858651041326,146.63453378752138,693.346921378255,0.003123001986664065,0
27716,21.742043398973575,26.57716062251916,723.1719139005023,826.9854289744791,0.0044601761304822185,0
30088,22.727336824195408,34.316133843311356,0.0,1569.309008577142,0.005391112717899061,0
24122,22.04734791244822,23.156878203094287,0.0,694.4499866143071,0.003349849364632773,0
14831,20.232935726335455,31.989271044980008,242.59583349750432,1242.0609214045076,0.004765120101230211,1
20363,21.6648760555731,27.443562883634158,459.55970073138917,865.9496001353772,0.004271776109964958,1
12985,22.59618125546461,28.332484010532948,32.620707204464324,637.0489519116287,0.005094234097127726,0
21983,20.68322219776729,27.41099003693058,0.0,537.312734159692,0.0038532966509638882,0
20885,20.0680704621907,29.88371559935509,0.0,490.12762721180326,0.00453696151979845,0
16220,20.786430026958328,30.538820047357326,0.0,526.5238666642141,0.005295852802760209,0
28074,20.804002646281184,22.79866176965636,0.0,419.9529350471732,0.00365076731518096,0
22240,19.45540835012934,32.685703608003614,0.0,508.643017110576,0.005285008956346029,0
14200,20.478244624666246,22.897713671276275,218.23706836698483,471.159185634822,0.0032035983019845444,0
21055,19.481724689571323,28.29961910541635,66.72367799934024,455.5463875173688,0.003708449549866536,0
11583,20.4127412121452,25.98486837473547,0.0,493.4945631485246,0.003773203362812303,0
19692,21.06820437633875,32.14676780889533,162.8670622010028,511.8127847349749,0.004443752239272203,0
14923,21.083396881960297,25.040752754687176,104.30749261751059,549.7429953446583,0.0034181374556529237,0
12237,19.912627791076087,30.716219864494494,0.0,457.2425638146341,0.00453972749871925,0
15369,21.097931279934965,32.438214449525425,115.38529718806095,1143.9778431229286,0.005098039724296096,1
14367,20.438082575632734,25.702244958881227,0.0,1523.6372537531754,0.004307874709976183,0
30174,22.47304179511732,35.138132238815885,479.9608736091084,1498.0988603669873,0.005315401178060221,1
27764,19.846720029235712,26.669581853037247,0.0,841.7046832717875,0.004143449432055936,0
16569,21.048221601374774,27.60759915673569,0.0,1308.8710432877915,0.004024838797534606,0
21441,22.7817381286164,25.408831320353823,235.0604587539809,1033.6947461551165,0.004356536850581047,1
27967,21.758424726310672,24.679875176492445,166.19212666912355,761.040670820125,0.004113438532896037,1
12856,19.520191334674934,27.103753135270523,0.0,444.416302955196,0.00401254285930919,0
14315,22.723808506500923,22.324364741820894,166.71676253425304,969.0324878782372,0.0035212446005415867,1
30143,18.985477257704922,30.111162163448505,0.0,416.0468669030294,0.004217634065205854,0
24102,20.076047224152482,23.88907486280912,155.99550487489142,543.2952896006766,0.00334011947392868,0
